file_name,bend_ratio,velocity,density,size,stokes,max_erosion,avg_erosion_s01
2125.csv,2.0,5,5000,300,4.906540221854122,5.657777272727273,0.1112131657645453
2126.csv,2.0,5,5000,500,13.62927839403923,6.764098999999996,0.23048543862933638
2131.csv,2.0,5,10000,50,0.2725855678807846,4.9781356,0.00454571073627497
2132.csv,2.0,5,10000,100,1.0903422715231383,7.723429999999998,0.04040886878423314
2133.csv,2.0,5,10000,150,2.453270110927061,9.155064,0.11806920788726116
2134.csv,2.0,5,10000,200,4.361369086092553,9.155064,0.22957283751854474
2135.csv,2.0,5,10000,300,9.813080443708245,8.713813999999998,0.4049609282203535
2136.csv,2.0,5,10000,500,27.25855678807846,8.713813999999998,0.6321322258957801
2141.csv,2.0,5,15000,50,0.4088783518211768,7.232006999999998,0.023150516729880184
2142.csv,2.0,5,15000,100,1.6355134072847073,6.212802999999998,0.139259821783813
2143.csv,2.0,5,15000,150,3.6799051663905913,9.523575,0.3351188389809176
2144.csv,2.0,5,15000,200,6.542053629138829,7.21321,0.5763394034950341
2145.csv,2.0,5,15000,300,14.719620665562365,10.603443587270972,0.8754335054740431
2146.csv,2.0,5,15000,500,40.88783518211769,14.115364644970416,1.1987825086415582
2151.csv,2.0,5,30000,50,0.8177567036423536,6.045964999999996,0.22609091296647085
2152.csv,2.0,5,30000,100,3.2710268145694146,9.202293518518514,0.7807264382285592
2153.csv,2.0,5,30000,150,7.359810332781183,11.90669696969697,1.3455359404277283
2154.csv,2.0,5,30000,200,13.084107258277658,16.944529132791324,1.7999848260341873
2155.csv,2.0,5,30000,300,29.43924133112473,22.05412016293279,2.2153000442322726
2156.csv,2.0,5,30000,500,81.77567036423538,25.429517241379312,2.572221096061522
2211.csv,2.0,10,2000,50,0.10903422715231383,19.780631999999983,0.0012097660387522296
2212.csv,2.0,10,2000,100,0.4361369086092553,24.889840999999983,0.013263279318465226
2213.csv,2.0,10,2000,150,0.9813080443708245,24.69136999999999,0.05250861027028889
2214.csv,2.0,10,2000,200,1.7445476344370212,24.69136999999999,0.12422503232516746
2215.csv,2.0,10,2000,300,3.925232177483298,24.69136999999999,0.28375781492933994
2216.csv,2.0,10,2000,500,10.903422715231384,24.69136999999999,0.6169097574856574
2221.csv,2.0,10,5000,50,0.2725855678807846,33.04952599999998,0.040594993342887783
2222.csv,2.0,10,5000,100,1.0903422715231383,25.22622099999998,0.25449470910790417
2223.csv,2.0,10,5000,150,2.453270110927061,25.22622099999998,0.6275224947526762
2224.csv,2.0,10,5000,200,4.361369086092553,27.014682170542635,1.1242413789939558
2225.csv,2.0,10,5000,300,9.813080443708245,32.41491089108909,1.9038177972158972
2226.csv,2.0,10,5000,500,27.25855678807846,39.594135,3.046602337225215
2231.csv,2.0,10,10000,50,0.5451711357615692,51.877452999999996,0.33706756236994007
2232.csv,2.0,10,10000,100,2.1806845430462767,51.877452999999996,1.2971609953206975
2233.csv,2.0,10,10000,150,4.906540221854122,29.413014583333325,2.628872610538496
2234.csv,2.0,10,10000,200,8.722738172185107,32.482525,4.035076884980251
2235.csv,2.0,10,10000,300,19.62616088741649,50.23006471816282,5.76123109835114
2236.csv,2.0,10,10000,500,54.51711357615692,72.43223111111111,7.711682665958252
2241.csv,2.0,10,15000,50,0.8177567036423536,40.109073999999985,0.8343825068180176
2242.csv,2.0,10,15000,100,3.2710268145694146,52.89531999999998,2.673362898931856
2243.csv,2.0,10,15000,150,7.359810332781183,37.53750539956803,4.7683682348259495
2244.csv,2.0,10,15000,200,13.084107258277658,55.88382147838213,6.68050744749328
2245.csv,2.0,10,15000,300,29.43924133112473,76.21008179959101,8.697687488269379
2246.csv,2.0,10,15000,500,81.77567036423538,95.70933121019108,10.725094432508014
2251.csv,2.0,10,30000,50,1.6355134072847073,52.184909999999995,2.9231047948622364
2252.csv,2.0,10,30000,100,6.542053629138829,54.73238793103447,6.774561004513115
2253.csv,2.0,10,30000,150,14.719620665562365,82.28661445783133,9.758513813713321
2254.csv,2.0,10,30000,200,26.168214516555317,108.05858909090907,11.962151567979543
2255.csv,2.0,10,30000,300,58.87848266224946,122.65702010968921,13.892728353111165
2256.csv,2.0,10,30000,500,163.55134072847076,136.54587289992693,15.55533191868332
2311.csv,2.0,15,2000,50,0.16355134072847075,64.823524,0.021367654095826208
2312.csv,2.0,15,2000,100,0.654205362913883,95.05589,0.16032172677300124
2313.csv,2.0,15,2000,150,1.4719620665562367,95.05589,0.446986674330288
2314.csv,2.0,15,2000,200,2.616821451655532,95.05589,0.8535557382288751
2315.csv,2.0,15,2000,300,5.887848266224947,95.05589,1.5473949844779247
2316.csv,2.0,15,2000,500,16.355134072847076,56.61248598130837,2.7598483886802003
2321.csv,2.0,15,5000,50,0.4088783518211768,89.90891999999997,0.4186938552148065
2322.csv,2.0,15,5000,100,1.6355134072847073,89.90891999999997,1.6576101518020885
2323.csv,2.0,15,5000,150,3.6799051663905913,107.98293999999999,3.299673581802507
2324.csv,2.0,15,5000,200,6.542053629138829,89.90891999999997,5.194389552162901
2325.csv,2.0,15,5000,300,14.719620665562365,78.11439666666662,7.862202361480231
2326.csv,2.0,15,5000,500,40.88783518211769,96.34592499999995,11.61115494194695
2331.csv,2.0,15,10000,50,0.8177567036423536,62.05404999999995,1.8448997247343262
2332.csv,2.0,15,10000,100,3.2710268145694146,79.26731818181817,5.249733235062982
2333.csv,2.0,15,10000,150,7.359810332781183,85.67576491228067,9.192923451684589
2334.csv,2.0,15,10000,200,13.084107258277658,106.7676747311828,13.023104190240273
2335.csv,2.0,15,10000,300,29.43924133112473,140.26479591836733,17.440021264920095
